# Medication database
# Format: Name | Active substances (comma-separated) | Type
Juvit Multi | Retynolu palmitynian stabilizowany tokoferolem 5000 j.m./ml + Cholecalciferolum (Vitaminum D3) 1000 j.m./ml + int-rac-alfa-Tocopherylis acetas 4 mg/ml + Thiaminum hydrochloridum (vitaminum B1) 2 mg/ml + Riboflavini natrii phosphas 0.8 mg/ml + Pyridoxini hydrochloridum (Vitaminum B6) 4 mg/ml + Nicotinamidum 30 mg/ml + dekspantenol 10 mg/ml + Acidum ascorbicum 100 mg/ml | Leki przewodu pokarmowego i metaboliczne
Chlorchinaldin o smaku czarnej porzeczki | Chlorquinaldolum 2 mg | Leki układu oddechowego
Nasometin Alergia Lora | Loratadinum 10 mg | Leki układu oddechowego
Indocollyre 0,1% | Indometacinum 5 mg | Leki okulistyczne i otologiczne
Polpril | Ramiprilum 10 mg | ACEI
Zolpic | Zolpidemi tartras 10 mg | Leki działające na układ nerwowy
Emoclot | Factor VIII coagulationis humanus 500 j.m. | Leki działające na krew i układ krwiotwórczy
Invanz | Ertapenemum 1 g | Leki przeciwbakteryjne i przeciwzakaźne
Orofar Junior | Lidocaini hydrochloridum 1 mg + Benzoxonii chloridum 1 mg | Leki przewodu pokarmowego i metaboliczne
Luveris | Lutropinum alfa 75 j.m | Leki układu moczowo‑płciowego i hormony płciowe
Tlen medyczny Spawmet | Oxygenium 99 % | Pozostałe produkty lecznicze
Tamiflu | Oseltamivirum 75 mg | Leki przeciwbakteryjne i przeciwzakaźne
Vfend | Voriconazolum 200 mg | Leki przeciwbakteryjne i przeciwzakaźne
Atoris | Atorvastatinum 10 mg | Statyny
Nicerin | Nicergolinum | Leki układu sercowo‑naczyniowego
Normodipine | Amlodipinum 5 mg | Antagoniści kanału wapniowego
Yasnal | Donepezili hydrochloridum monohydricum 5 mg | Leki działające na układ nerwowy
Setronon | Ondansetroni hydrochloridum dihydricum 8 mg | Leki przewodu pokarmowego i metaboliczne
Stimuloton | Sertralini hydrochloridum 55.95 mg | SSRI
Levitra | Vardenafilum 5 mg | Leki układu moczowo‑płciowego i hormony płciowe
Rennie Fruit | Calcii carbonas 680 mg + Magnesii subcarbonas 80 mg | Leki przewodu pokarmowego i metaboliczne
Cialis | Tadalafilum 10 mg | Leki układu moczowo‑płciowego i hormony płciowe
Evra | Norelgestrominum 6 mg + Ethinylestradiolum 0.6 mg | Leki układu moczowo‑płciowego i hormony płciowe
Aspicam Bio | Meloxicamum 7.5 mg | Leki układu mięśniowo‑szkieletowego
Aspicam | Meloxicamum | Leki układu mięśniowo‑szkieletowego
PlantagoPharm | Plantaginis lanceolatae herbae extractun fluidum (1:1) 8 g | Farmakologiczna grupa nieokreślona
Kopiryna - tabletki od bólu głowy | Acidum acetylsalicylicum 400 mg + Coffeinum 50 mg | Leki działające na układ nerwowy
Venomenhal | Standaryzowany jad owada 120 VU, co po rekonstytucji odpowiada 100 mcg jadu/ml | Pozostałe produkty lecznicze
Clinimix N9G15E | Leucinum 4.02 g/l + L-fenyloalanina 3.08 g/l + L-metionina 2.2 g/l + L-Lizyna 3.19 g/l + L-izoleucyna 3.3 g/l + L-walina 3.19 g/l + L-Histidine 2.64 g/l + L-treonina 2.31 g/l + L-Tryptophanum 0.99 g/l + L-Alanine 11.39 g/l + L-Argininum 6.33 g/l + Glycinum 5.67 g/l + L-Prolinum 3.74 g/l + L-Serinum 2.75 g/l + L-Tyrosinum 0.22 g/l + Natrii acetas trihydricus 4.31 g/l + Kalii hydrogenophosphas 5.22 g/l + Sodu chlorek 2.24 g/l + Magnesii chloridum hexahydricum 1.02 g/l + Glucosum 150 g/l + Calcii chloridum dihydricum 165 g/l | Leki działające na krew i układ krwiotwórczy
Benalapril 10 | Enalaprili maleas 10 mg | ACEI
Benalapril 20 | Enalaprili maleas 20 mg | ACEI
Tulip | Atorvastatinum calcicum trihydricum 10.825 mg | Statyny
Atrovent N | Ipratropii bromidum 20 mcg | Leki układu oddechowego
Replagal | Agalsidasum alfa 1 mg | Leki przewodu pokarmowego i metaboliczne
Rebetol | Ribavirinum 200 mg | Leki przeciwbakteryjne i przeciwzakaźne
Rivel | Etacridini lactas 5 mg | Leki dermatologiczne
Naproxen Emo | Naproxenum | Leki układu mięśniowo‑szkieletowego
Venogel | Diclofenacum natricum 12 mg + Tribenosidum 10 mg + Escinum 5 mg | Leki układu sercowo‑naczyniowego
Tlen medyczny Messer | Oxygenium nie mniej niż 99,5% obj. | Pozostałe produkty lecznicze
Clindamycin-MIP 300 | Clindamycini hydrochloridum 300 mg | Leki przeciwbakteryjne i przeciwzakaźne
Clindamycin-MIP 600 | Clindamycini hydrochloridum 600 mg | Leki przeciwbakteryjne i przeciwzakaźne
Lignox | Lidocaini hydrochloridum 50 mg | Leki działające na układ nerwowy
Metronidazol Chema | Metronidazolum 100 mg/g | Leki przewodu pokarmowego i metaboliczne
Dexadent | Dexamethasoni acetas 10 mg/g + Framycetini sulfas 25 mg/g + Polymyxini B sulfas 2.5 mg/g | Leki przewodu pokarmowego i metaboliczne
Clindamycin-MIP 150 mg/ml | Clindamycini phosphas 150 mg | Leki przeciwbakteryjne i przeciwzakaźne
Diuver | Torasemidum 5 mg | Leki układu sercowo‑naczyniowego
Apap ból i gorączka C plus | Paracetamolum 500 mg + Acidum ascorbicum 300 mg | Leki działające na układ nerwowy
Ototalgin | Cholini salicylas 0.25 g | Leki okulistyczne i otologiczne
Ebixa | Memantini hydrochloridum 5 mg | Leki działające na układ nerwowy
Rexetin | Paroxetini hydrochloridum 22.76 mg | SSRI
Nurofen Mięśnie i Stawy | Ibuprofenum 5 g | Leki układu mięśniowo‑szkieletowego
Sutent | Sunitinibum 12.5 mg | Leki przeciwnowotworowe i immunomodulujące
Lamotrix | Lamotriginum 25 mg | Leki działające na układ nerwowy
Olej kamforowy | Camphorum 10 g | Farmakologiczna grupa nieokreślona
Spirytus kamforowy | Camphorum 10 g | Farmakologiczna grupa nieokreślona
Woda utleniona | Hydrogenii peroxydum 30 % 3 g | Leki dermatologiczne
Owoc Anyżu | Anisi fructus 100 g/100 g | Farmakologiczna grupa nieokreślona
Ziele Drapacza lekarskiego | Cnici benedicti herba 100 g/100 g | Farmakologiczna grupa nieokreślona
Liść Podbiału | Farfarae folium 100 g/ 100 g | Farmakologiczna grupa nieokreślona
Liść Bobrka | Menyanthidis trifoliatae folium 100 g/100 g | Farmakologiczna grupa nieokreślona
Owoc Kopru włoskiego | Foeniculi fructus 100 g/100 g | Farmakologiczna grupa nieokreślona
Kwiat Ślazu dzikiego | Malvae sylvestris flos 100 g/100 g | Farmakologiczna grupa nieokreślona
Ziele Dziurawca | Hyperici herba 100 g/100 g | Farmakologiczna grupa nieokreślona
Owoc Jałowca | Juniperi pseudo-fructus 100 g/100 g | Farmakologiczna grupa nieokreślona
Korzeń Wilżyny | Ononidis radix 100 g | Farmakologiczna grupa nieokreślona
Ziele Tymianku | Thymi herba 100 g/100 g | Farmakologiczna grupa nieokreślona
Kwiat kocanek | Helichrysi flos 100 g/100 g | Farmakologiczna grupa nieokreślona
Liść Brzozy | Betulae folium do 5 mg | Farmakologiczna grupa nieokreślona
Korzeń Mniszka | Taraxaci radix 1 g/1 g | Farmakologiczna grupa nieokreślona
Kora dębu | Quercus cortex 100 g | Farmakologiczna grupa nieokreślona
Kwiatostan Głogu | Crataegi inflorescentia 100 g/100 g | Farmakologiczna grupa nieokreślona
Ziele Krwawnika | Millefolii herba 100 g/100 g | Farmakologiczna grupa nieokreślona
Kwiat Lipy | Tiliae flos 100 g/100 g | Farmakologiczna grupa nieokreślona
Liść Melisy | Melissae folium 100 g/ 100 g | Farmakologiczna grupa nieokreślona
Volulyte 6% | Poli (O-2-hydroksyetylo) skrobia 60 g + Natrii chloridum 6.02 g + Natrii acetas trihydricus 4.63 g + Kalii chloridum 0.3 g + Magnesii chloridum hexahydricum 0.3 g | Leki działające na krew i układ krwiotwórczy
Kwiat Rumianku | Matricariae flos 100 g/ 100 g | Farmakologiczna grupa nieokreślona
Liść Mącznicy | Uvae ursi folium 100 g/100 g | Farmakologiczna grupa nieokreślona
Ziele Fiołka trójbarwnego | Violae tricoloris herba 100 g/100 g | Farmakologiczna grupa nieokreślona
Liść Szałwii | Salviae folium 100 g/100 g | Farmakologiczna grupa nieokreślona
Spirytus salicylowy-Avena | Acidum salicylicum 2 g | Farmakologiczna grupa nieokreślona
Orfadin | Nitisinonum 2 mg | Leki przewodu pokarmowego i metaboliczne
Maść tranowa Aflofarm | olej wątłuszowy 40 g | Farmakologiczna grupa nieokreślona
Ziele Macierzanki | Serpylli herba 100 g/100 g | Farmakologiczna grupa nieokreślona
Korzeń Prawoślazu | Althaeae radix | Farmakologiczna grupa nieokreślona
Liść Rozmarynu | Rosmarini folium 100g/ 100g | Farmakologiczna grupa nieokreślona
Korzeń Kozłka | Valerianae radix 100 g/100 g | Farmakologiczna grupa nieokreślona
Ziele Skrzypu | Equiseti herba 100 g/100 g | Farmakologiczna grupa nieokreślona
Ziele Rdestu ptasiego | Polygoni avicularis herba 100 g/100 g | Farmakologiczna grupa nieokreślona
Kłącze Perzu | Graminis rhizoma 100 g/100 g | Farmakologiczna grupa nieokreślona
Maść cynkowa Aflofarm | Zinci oxidum 10 g | Farmakologiczna grupa nieokreślona
Tormazol | Tormentillae extractum 3 g | Farmakologiczna grupa nieokreślona
Krople nasercowe | Convallariae tinctura 50 g + Crataegi tinctura 25 g + Valerianae tinctura 25 g | Farmakologiczna grupa nieokreślona
Korzeń Lubczyka | Levistici radix 100 g | Farmakologiczna grupa nieokreślona
Zalanzo | Lansoprazolum 15 mg | IPP
Parafina ciekła - Avena | Paraffinum liquidum | Leki przewodu pokarmowego i metaboliczne
Gliceryna | Glycerolum 100 g/ 100 g | Farmakologiczna grupa nieokreślona
Aldan | Amlodipini besilas 10 mg | Antagoniści kanału wapniowego
Revatio | Sildenafili citras 0.8 mg/ml | Leki układu moczowo‑płciowego i hormony płciowe
Lactulosum Hasco | Lactulosum 5 000,00mg/5 ml | Leki przewodu pokarmowego i metaboliczne
Vinpocetine Espefa | Vinpocetinum 5 mg | Leki działające na układ nerwowy
Ceroxim | Cefuroximum 250 mg/5 ml | Leki przeciwbakteryjne i przeciwzakaźne
Mononit 60 Retard | Isosorbidi mononitras 60 mg | Leki układu sercowo‑naczyniowego
Mononit 100 Retard | Isosorbidi mononitras 100 mg | Leki układu sercowo‑naczyniowego
Ibupar forte | Ibuprofenum 400 mg | NLPZ
Faringo Sept | Ambazonum 10 mg | Leki układu oddechowego
Calperos 1000 | Calcii carbonas 1000 mg | Leki przewodu pokarmowego i metaboliczne
Beriplex P/N 1000 | Prothrombinum multiplex humanum 1000 j.m. | Leki działające na krew i układ krwiotwórczy
Axura | Memantini hydrochloridum 10 mg | Leki działające na układ nerwowy
Finlepsin | Carbamazepinum 200 mg | Leki działające na układ nerwowy
Finlepsin 400 retard | Carbamazepinum 400 mg | Leki działające na układ nerwowy
LisiHEXAL 5 | Lisinoprilum dihydricum 5 mg | ACEI
LisiHEXAL 10 | Lisinoprilum dihydricum 10 mg | ACEI
LisiHEXAL 20 | Lisinoprilum dihydricum 20 mg | ACEI
Mestinon | Pyridostigmini bromidum 60 mg | Leki działające na układ nerwowy
Dianeal PD4 (glukoza 1,36%). Zestaw do dializy otrzewnowej | Glucosum 38.6 mg + Natrii chloridum 5.38 mg + Natrii lactas 4.48 mg + Calcii chloridum dihydricum 0.184 mg + Magnesii chloridum hexahydricum 0.051 mg | Leki działające na krew i układ krwiotwórczy
Dianeal PD4 (glukoza 2,27%). Zestaw do dializy otrzewnowej | Natrii chloridum 5.38 mg + Natrii lactas 4.48 mg + Glucosum 38.6 mg + Calcii chloridum dihydricum 0.184 mg + Magnesii chloridum hexahydricum 0.051 mg | Leki działające na krew i układ krwiotwórczy
Dianeal PD4 (glukoza 3,86%). Zestaw do dializy otrzewnowej | Glucosum 38.6 mg + Natrii chloridum 5.38 mg + Natrii lactas 4.48 mg + Magnesii chloridum hexahydricum 0.051 mg + Calcii chloridum dihydricum 0.184 mg | Leki działające na krew i układ krwiotwórczy
Jodyna | Iodum 3 g + Kalii iodidum 1 g | Farmakologiczna grupa nieokreślona
Ziele Piołunu | Absinthii herba 100 g/100 g | Farmakologiczna grupa nieokreślona
Maść majerankowa | Majoranae herba 2 cz. | Farmakologiczna grupa nieokreślona
Perindopril Krka | tert-Butylamini perindoprilum 4 mg | ACEI
Dermatol Gemi | Bismuthi subgallas 100 g | Leki dermatologiczne
Maść ichtiolowa | Ammonii bituminosulfonas ad 1 ml | Farmakologiczna grupa nieokreślona
Syrop tymiankowy złożony | Thymi extractum fluidum (1:2) 15 g + Thymolum 0.01 g | Farmakologiczna grupa nieokreślona
Kwiatostan Lipy | Tiliae inflorescentia 100 g/100 g | Farmakologiczna grupa nieokreślona
Nasienie Lnu | Lini Semen 1 g | Farmakologiczna grupa nieokreślona
Korzeń Lukrecji | Liquiritiae radix 991,65 mg (ad 1 ml) | Farmakologiczna grupa nieokreślona
Koszyczek Arniki | Arnica anthodium 100 g/100 g | Farmakologiczna grupa nieokreślona
Liść Borówki brusznicy | Vitis idaeae folium 100 g/100 g | Farmakologiczna grupa nieokreślona
Korzeń Arcydzięgla | Archangelicae radix 100 g/100 g | Farmakologiczna grupa nieokreślona
Koszyczek Rumianku | Chamomillae anthodium 100 g/ 100 g | Farmakologiczna grupa nieokreślona
Cardiacol C | Convallariae tinctura 270 mg/g + Crataegi tinctura 200 mg/g + Valerianae tinctura 200 mg/g + Colae extractum fluidum 140 mg/g | Farmakologiczna grupa nieokreślona
Nasienie Kozieradki | Trigonellae foenugraeci semen 1 g | Farmakologiczna grupa nieokreślona
Avenalax | Glycerolum 91 cz. | Farmakologiczna grupa nieokreślona
Syrop z sulfogwajakolem | Sulfogaiacolum 6 g | Farmakologiczna grupa nieokreślona
Czopki glicerynowe GEMI | Glycerolum 91 cz. | Farmakologiczna grupa nieokreślona
Bisoratio 5 | Bisoprololi fumaras 5 mg | β-blokery selektywne
Bisoratio 10 | Bisoprololi fumaras 10 mg | β-blokery selektywne
Cirrus Duo | Cetirizini dihydrochloridum 5 mg + Pseudoephedrini hydrochloridum 120 mg | Leki układu oddechowego
Opatanol | Olopatadini hydrochloridum 1 mg | Leki okulistyczne i otologiczne
Noliprel | Perindoprilum argininum 2.5 mg + Indapamidum 0.625 mg | Leki układu sercowo‑naczyniowego
Nutrineal PD4 (z 1,1% roztworem aminokwasów) | Calcii chloridum dihydricum 0.184 g/l + Acidum hydrochloridum - + Arginina 1.071 g/l + Natrii lactas 4.48 g/l + Magnesii chloridum hexahydricum 0.051 g/l + Alaninum 0.951 g/l + Leucinum 1.02 g/l + Methioninum 0.85 g/l + Aqua pro injectione do 1000 ml + Tryptophanum 0.27 g/l + Histidinum 0.714 g/l + Phenylalaninum 0.57 g/l + Isoleucinum 0.85 g/l + Natrii chloridum 5.38 g/l + Tyrosinum 0.3 g/l + prolina 0.595 g/l + Glycinum 0.51 g/l + Treoninum 0.646 g/l + L-Serinum 0.51 g/l + L-Lysini hydrochloridum 0.955 g/l | Leki działające na krew i układ krwiotwórczy
Extraneal Zestaw do dializy otrzewnowej | Natrii chloridum 5.4 g/l + sodu mleczan 4.5 g/l + wapnia chlorek 0.257 g/l + Magnesii chloridum 0.051 g/l | Leki działające na krew i układ krwiotwórczy
Sylimarol 70 mg | Silybi mariani extractum siccum 70 mg; ekstrahent - metanol 90%, substancja pomocnicza - benzoesan sodu (<0,2%) | Leki przewodu pokarmowego i metaboliczne
Krople nasercowe Aflofarm | Convallariae tinctura 50 g + Valerianae extractum 25 g + Crataegi extractum 25 g | Farmakologiczna grupa nieokreślona
Ziele Nostrzyka | Meliloti herba 100 g/100 g | Farmakologiczna grupa nieokreślona
Carvetrend | Carvedilolum 3.125 mg | β-blokery + alfa-blokery
Neurontin 600 | Gabapentinum 600 mg | Leki działające na układ nerwowy
Neurontin 800 | Gabapentinum 800 mg | Leki działające na układ nerwowy
Czopki glicerolowe GEMI | Glycerolum 91 | Farmakologiczna grupa nieokreślona
Liść Mięty pieprzowej | Menthae piperitae folium 100 g/100 g | Farmakologiczna grupa nieokreślona
Xolair | Omalizumabum 75 mg | Leki układu oddechowego
Kwiat Lawendy | Lavandulae flos 100 g/100 g | Farmakologiczna grupa nieokreślona
Kłącze Pięciornika | Tormentillae rhizoma 100 g/100 g | Farmakologiczna grupa nieokreślona
Phlebodia | Diosminum 600 mg | Leki układu sercowo‑naczyniowego
Simratio 10 | Simvastatinum 10 mg | Statyny
Simratio 20 | Simvastatinum 20 mg | Statyny
Simratio 40 | Simvastatinum 40 mg | Statyny
Ranigast Max | Ranitidini hydrochloridum do 1 ml | Antagoniści receptora H2
Sortis 80 | Atorvastatinum calcicum trihydricum 80 mg | Statyny
Jeanine | Ethinylestradiolum 0.03 mg + Dienogestum 2 mg | Leki układu moczowo‑płciowego i hormony płciowe
Milgamma N | Thiamini hydrochloridum (vitaminum B1) 50 mg/ml + Pyridoxini hydrochloridum (Vitaminum B6) 50 mg/ml + Cyanocobalaminum (Vitaminum B12) 0,5 mg/ml | Leki przewodu pokarmowego i metaboliczne
Vancomycin-MIP 500 | Vancomycini hydrochloridum 510 mg | Leki przewodu pokarmowego i metaboliczne
Vancomycin-MIP 1000 | Vancomycini hydrochloridum 1020 mg | Leki przewodu pokarmowego i metaboliczne
Polhumin MIX-5 | Insulinum humanum 100 j.m./ml | Leki przewodu pokarmowego i metaboliczne
Polhumin MIX-4 | Insulina ludzka biosyntetyczna wysokooczyszczona 100 j.m./ml | Leki przewodu pokarmowego i metaboliczne
Polhumin MIX-3 | Insulina ludzka biosyntetyczna wysokooczyszczona 100 j.m./ml | Leki przewodu pokarmowego i metaboliczne
Polhumin MIX-2 | Insulina ludzka biosyntetyczna wysokooczyszczona 100 j.m./ml | Leki przewodu pokarmowego i metaboliczne
BCG - medac | żywe cząstki BCG, szcep RIVM wytworzony ze szczepu 1173-P2 min. 2x10^8 max. 3x10^9 | Leki przeciwnowotworowe i immunomodulujące
Cogiton 5 | Donepezili hydrochloridum monohydricum 5 mg | Leki działające na układ nerwowy
Polhumin N | Insulinum humanum 100 j.m/1 ml | Leki przewodu pokarmowego i metaboliczne
Cogiton 10 | Donepezili hydrochloridum monohydricum 10 mg | Leki działające na układ nerwowy
Helicid 40 | Omeprazolum 40 mg | IPP
Sufentanil Chiesi | Sufentanilum (cytrynian) 0,075 mg | Leki działające na układ nerwowy
MicardisPlus | Telmisartanum 40 mg + Hydrochlorothiazidum 12.5 mg | ARB + diuretyki
AntyGrypin | Acidum acetylsalicylicum 500 mg + Acidum ascorbicum 150 mg + Coffeinum 50 mg | Leki działające na układ nerwowy
Fareston | toremifenum 60 mg | Leki przeciwnowotworowe i immunomodulujące
Normaclin | Clindamycini phosphas 1,19 g/100 g | Leki dermatologiczne
Indix SR | Indapamidum 1.5 mg | Leki układu sercowo‑naczyniowego
Polcrom 2% | Natrii cromoglicas 20 mg | Leki układu oddechowego
Penicillinum procainicum L TZF | Benzylpenicillinum procainum 2400000 j.m. | Leki przeciwbakteryjne i przeciwzakaźne
Difadol 0,1% | Diclofenacum natricum 1 mg/ml | Leki okulistyczne i otologiczne
Acidum folicum Hasco | Acidum folicum 5 mg | Leki działające na krew i układ krwiotwórczy
Cavinton Forte | Vinpocetinum 10 mg | Leki działające na układ nerwowy
Optiray 300 | Ioversolum 636 mg/ml (300 mg I/ml) | Pozostałe produkty lecznicze
Optiray 320 | Ioversolum 67,8 g/100 ml | Pozostałe produkty lecznicze
Optiray 350 | Ioversolum 74,1 g/100 ml | Pozostałe produkty lecznicze
Klarmin | Clarithromycinum 250 mg | Makrolidy
DexaCaps | Tiliae inflorescentiae extractum siccum 167 mg (2,5-3:1) [maltodekstryna do 30%, ekstrahent-etanol 70% (v/v)] + Melissae folii extractum siccum 50 mg (6-8:1) [ekstrahent-woda oczyszczona] + Dextromethorphani hydrobromidum 20 mg | Leki układu oddechowego
Pascofemin | Aletris farinosa (D3) 7,5 g/100 g + Cimicifuga racemosa (D3) 20 g/100 g + Lilium lancifolium 7,5 g/100 g + Strychnos ignati D4 7,5 g/100 g + Vitex agnus castus (D2) 20 g/100 g + Pulsatilla 7,5 g/100 g + Fraxinus americana (D3) 7,5 g/100 g + Senecio aureus (D5) 7,5 g/100 g + Caulophyllum thalictroides (D2) 7,5 g/100 g + Chamaelirium luteum (D3) 7,5 g/100 g | Farmakologiczna grupa nieokreślona
Maxigra | Sildenafili citras 140.48 mg | Leki układu moczowo‑płciowego i hormony płciowe
Maxigra Max | Sildenafili citras 70.24 mg | Leki układu moczowo‑płciowego i hormony płciowe
Finlepsin 200 retard | Carbamazepinum 200 mg | Leki działające na układ nerwowy
Aknenormin 10 mg | Isotretinoinum 10 mg | Leki dermatologiczne
Ostolek | Natrii alendronas trihydricus | Leki układu mięśniowo‑szkieletowego
Thromboreductin | Anagrelidum 0.5 mg | Leki przeciwnowotworowe i immunomodulujące
Proxacin 250 | Ciprofloxacini hydrochloridum 250 mg | Fluorochinolony
Proxacin 500 | Ciprofloxacini hydrochloridum 500 mg | Fluorochinolony
Azimycin | Azithromycinum 125 mg | Makrolidy
Lipomal | Tiliae inflorescentiae extractum siccum (6-7:1), 15%maltodekstryna, rozpuszczalnik ekstrakcyjny: etanol 40% (v/v) - + Tiliae inflorescentia extractum aq. (1:5) 1.488 g | Farmakologiczna grupa nieokreślona
Normosan caps | Frangulae corticis extractum siccum normatum (5-7:1) zawierający 18,9-23,1% glukofrangulin w przeliczeniu na glukofrangulinę A - 78,95 mg | Farmakologiczna grupa nieokreślona
